checkout_id,customer_id,customer_locale,referring_site,landing_site,abandoned_checkout_url,created_at,completed_at,time_in_funnel_seconds,currency,subtotal_price,total_discounts,total_tax,total_price,financial_status,cart_token,device_type,browser_ip,buyer_accepts_marketing,cancel_reason
39706365690078,9934982021342,en-US,unknown,/cart/c/hWNDQMoITNAnjm0GUmF0TTUI?_fd=0&ccid=B_1gftnlSrpyOUopJ_EgvtdGV-7DlqhitLl8BiZPm93-N0mXGVqkh5wWPbsxZupEsQYDT6IruKQwSZiYcEh1xtB3gAmVE8bfJ2tfCbmqw9I-w2sWrb5xzA0HsY6u8KbT&key=d9076b850efadfb0c05059107f2d37ec&locale=en&payment=shop_pay,unknown,2026-06-20T19:34:59,2026-06-20T19:41:04-06:00,365,USD,17.9,0.0,1.07,38.97,paid,hWNDQMoITNAnjm0GUmF0TTUI,mobile,2607:fb91:4c8e:b1df:34e1:75:3d6a:8914,False,unknown
39656956657886,8118677405918,en-US,https://www.ai-markets.shop/,/en,unknown,2026-06-15T14:26:32,2026-06-15T14:36:13-06:00,581,USD,0.0,23.23,0.0,0.0,paid,hWNDNeArFbVA977TFSG9C3sn,mobile,177.239.90.218,False,unknown
39656789967070,8118677405918,en-US,https://www.ai-markets.shop/,/en,unknown,2026-06-15T14:19:21,2026-06-15T14:22:49-06:00,208,USD,0.0,23.23,0.0,0.0,paid,hWNDNYLdlwu8co2NnXkF4EGP,tablet,177.239.90.218,False,unknown
39549295493342,7710559797470,en-US,https://admin.shopify.com/,/online_store_preview,unknown,2026-05-30T08:43:53,2026-05-30T08:46:11-06:00,138,USD,0.0,255.2,0.0,0.0,paid,hWNClPmiAA9QO8TN9e6EW61B,tablet,177.239.90.218,True,unknown
39548498280670,7710559797470,en-US,https://admin.shopify.com/,/online_store_preview,unknown,2026-05-30T05:05:35,2026-05-30T05:08:45-06:00,190,USD,0.0,46.44,0.0,0.0,paid,hWNCl3pXg2mRCHbBDHJ9oTLN,tablet,177.239.90.218,True,customer
39540981399774,7710559797470,en-US,https://admin.shopify.com/,/online_store_preview,unknown,2026-05-28T16:21:16,2026-05-28T16:30:43-06:00,567,USD,0.0,46.44,0.0,0.0,paid,hWNCgrPBS6IyzZT3LuHEObnF,tablet,177.239.88.218,True,customer
39517440049374,9668886069470,en-US,unknown,/cart/c/hWNCWGV8E9hvaLbqdZ8e3XSE?_fd=0&ccid=t-n7rU-4OAzLPmKc1hfdWE6Ct2tUcCuKPkojO6aMtGl2JZaqZMyf758CmdBrHrsL45UGtbdC_x1AFaS2bJxJq3_xE7tdN1FoiSNArQpEhjo1yaagpHd4bZmrjX7JoRIE&key=5e7066eaa2b8889966f96a8cd9fe9bf9&locale=en&payment=shop_pay,unknown,2026-05-23T22:09:56,2026-05-23T22:13:28-06:00,212,USD,24.99,0.0,1.66,26.65,refunded,hWNCWGV8E9hvaLbqdZ8e3XSE,desktop,2607:fb90:2e04:5587:39d9:ebef:7d4b:c565,False,inventory
39464963539166,9630326816990,en-US,unknown,/cart/c/hWNC5izYP5Hr6dU1M6d2Ftis?_fd=0&ccid=w2opw-x7Y_bzU6W0q7IXL4Pg9fu5njdC_IhOLbKisn3easqepc5LT3eK0QxkzabYjYav_3c4mZUUd5eT8j46Qj42FxWycN5m2R8P69iXn9xcpmRJltdHxETm061Ij9-D&key=8402095218a3039cfd5c6f8bf0092f4e&locale=en&payment=shop_pay,unknown,2026-05-12T15:30:30,2026-05-12T15:38:38-06:00,488,USD,27.38,0.0,2.26,29.64,refunded,hWNC5izYP5Hr6dU1M6d2Ftis,tablet,2600:1700:5861:740:b9fc:d6bb:631b:3632,False,fraud
39447129751774,9621211119838,en-US,unknown,/cart/c/hWNBxFLZre7Nro9GFXe2vOy2?_fd=0&ccid=8i-AfDt0ajmNRIB25F7hX47OopGanBn2h0lhi1VAFYMYBYVRzwEd0Mg8RYOPqbhIGRrI0dFg_SHR4YnSOUvPlEowYOxW8j7vNu_spbkbXdg_-ixGdHbGXzdNBn-TqAwf&key=4e86bef8be39ade3cd96f79c5da3da8d&locale=en&payment=shop_pay,unknown,2026-05-09T01:01:30,2026-05-09T01:11:15-06:00,585,USD,31.98,0.0,0.0,31.98,refunded,hWNBxFLZre7Nro9GFXe2vOy2,mobile,197.253.21.217,False,fraud
39420971548894,9607213121758,en-US,unknown,/cart/c/hWNBkR69jZhQUWzwxRmzaigs?_fd=0&ccid=bV9eMrnIGMuEBxRpqmKi5ZhXPfPzZH5vXgJNLl5KSqKSRKlSE7GTih8frp1NfBxGphUyPK4a6rej55zvLkDXr8oomSo42Vl4Qpx84FQf5z3PafoE0EiwgOG7pM9h8M74&key=f16a4d55dcf67f821b07849b3c48f6a3&locale=en&payment=shop_pay,unknown,2026-05-03T14:25:09,2026-05-03T14:34:04-06:00,535,USD,51.92,0.0,0.0,51.92,paid,hWNBkR69jZhQUWzwxRmzaigs,desktop,66.234.153.141,False,unknown
39418064928990,9605801902302,en-US,unknown,/cart/c/hWNBixLBuPd0oaboQHjK0v10?_fd=0&ccid=VowliFhLYJeFzjKUGKCXnTm3IAd1rq35PtVXbUjBWCocslG5vFKLM5yLkJbj_uc1MpnenfpbvZiax59kNjGAnyYN2FQxszjf0H5bwIENzl6duO798mSpvFwIzEd8fWW-&key=c33b1205e73f2d61f397e453b56ebe51&locale=en&payment=shop_pay,unknown,2026-05-02T23:20:20,2026-05-02T23:23:35-06:00,195,USD,39.99,0.0,0.0,39.99,paid,hWNBixLBuPd0oaboQHjK0v10,mobile,2001:8004:6fa0:5449:79ad:2629:f9a5:2eda,False,unknown
